,borough,x,y,latitude,longitude
87,Barking & Dagenham,544683.6,185182.7,51.546995,0.085191
88,Barking & Dagenham,544717.9,185215.0,51.547276,0.085698
89,Barking & Dagenham,544737.7,185227.7,51.547385,0.085989
90,Barking & Dagenham,544756.2,185235.8,51.547453,0.086259
91,Barking & Dagenham,544784.4,185243.2,51.547513,0.086668
92,Barking & Dagenham,544852.3,185259.6,51.547643,0.087654
93,Barking & Dagenham,544876.9,185265.8,51.547692,0.088011
94,Barking & Dagenham,544891.3,185269.0,51.547717,0.08822
95,Barking & Dagenham,544908.8,185272.1,51.54774,0.088473
96,Barking & Dagenham,544943.0,185279.6,51.547799,0.088969
97,Barking & Dagenham,544982.2,185288.4,51.547868,0.089538
98,Barking & Dagenham,544995.8,185291.1,51.547889,0.089735
99,Barking & Dagenham,545009.5,185294.4,51.547915,0.089934
100,Barking & Dagenham,545020.7,185296.8,51.547934,0.090096
101,Barking & Dagenham,545026.2,185298.0,51.547943,0.090176
102,Barking & Dagenham,545041.1,185298.8,51.547946,0.090391
103,Barking & Dagenham,545047.8,185301.5,51.547969,0.090488
104,Barking & Dagenham,545051.0,185305.5,51.548004,0.090536
105,Barking & Dagenham,545057.6,185317.2,51.548107,0.090636
106,Barking & Dagenham,545064.8,185323.6,51.548163,0.090743
107,Barking & Dagenham,545071.8,185329.2,51.548212,0.090846
108,Barking & Dagenham,545108.6,185337.2,51.548274,0.091379
109,Barking & Dagenham,545116.3,185338.6,51.548285,0.091491
110,Barking & Dagenham,545122.2,185343.4,51.548326,0.091578
111,Barking & Dagenham,545123.9,185350.5,51.54839,0.091605
112,Barking & Dagenham,545122.8,185356.2,51.548441,0.091592
113,Barking & Dagenham,545115.0,185383.7,51.54869,0.091491
114,Barking & Dagenham,545116.8,185395.5,51.548796,0.091522
115,Barking & Dagenham,545121.1,185407.4,51.548902,0.091588
116,Barking & Dagenham,545124.3,185420.2,51.549016,0.09164
117,Barking & Dagenham,545127.2,185430.6,51.549109,0.091686
118,Barking & Dagenham,545137.4,185447.1,51.549254,0.09184
119,Barking & Dagenham,545148.6,185465.2,51.549414,0.092009
120,Barking & Dagenham,545188.6,185492.9,51.549653,0.092597
121,Barking & Dagenham,545184.5,185480.0,51.549538,0.092532
122,Barking & Dagenham,545177.6,185452.4,51.549291,0.092421
123,Barking & Dagenham,545167.2,185408.4,51.548899,0.092253
124,Barking & Dagenham,545165.6,185396.7,51.548794,0.092225
125,Barking & Dagenham,545167.0,185378.6,51.548631,0.092238
126,Barking & Dagenham,545171.5,185360.7,51.548469,0.092296
127,Barking & Dagenham,545173.9,185352.7,51.548397,0.092327
128,Barking & Dagenham,545194.7,185276.7,51.547708,0.092595
129,Barking & Dagenham,545213.4,185209.5,51.5471,0.092837
130,Barking & Dagenham,545216.2,185198.4,51.546999,0.092873
131,Barking & Dagenham,545226.4,185158.6,51.546639,0.093003
132,Barking & Dagenham,545237.9,185120.7,51.546295,0.093154
133,Barking & Dagenham,545244.0,185098.8,51.546097,0.093232
134,Barking & Dagenham,545248.0,185098.3,51.546092,0.09329
